OBJECTID,Mine_ID,Mine Name,Operation Type,Mine Status,Primary Product,Other Products,Owner,Operator,Lead Agency,Report Year,Acres Disturbed,Reclamation Status,Permit Number,Permit Acres,Financial Assurance Mechanism Total,Financial Assurance Cost Estimate,Latitude,Longitude,x,y
935402,91-19-0028,HANSEN DAM - EXEMPT,QUARRY,EXEMPT,Sand and Gravel,,"BORGES ROCK PRODUCTS, INC.","BORGES ROCK PRODUCTS, INC.",County of Los Angeles,1994,0,RECLAMATION NOT STARTED,,,,,34.271944,-118.388056,-13178898.1099,4065376.1746999994
935403,91-36-0043,CADIZ DRY LAKE,"BRINE WELL,EVAPORATION SYSTEM",ACTIVE,NOT REPORTED,Salt,"TETRA TECHNOLOGIES, INC.","TETRA TECHNOLOGIES, INC.",County of San Bernardino,2018,1000,RECLAMATION NOT STARTED,2005 M-02,800.00,946204,1031985,34.279722,-115.384444,-12844537.5515,4066423.984700002
935404,91-36-0112,CAJON PASS SAND & GRAVEL,QUARRY,RECLAIMED,Gypsum,,,,County of San Bernardino,2012,0,RECLAMATION CERTIFIED COMPLETE BY LEAD AGENCY,9M-01,52.00,41776.09,0,34.281111,-117.454167,-13074938.061999999,4066611.1133999974
935405,91-56-0005,KNOLL,UNDETERMINED,RECLAIMED,Clay,,"HANSON AGGREGATES WEST, INC.","HANSON AGGREGATES WEST, INC.",County of Ventura,2000,0,RECLAMATION CERTIFIED COMPLETE BY LEAD AGENCY,CUP-4391,10.00,69125.56,,34.281944,-119.113056,-13259604.7408,4066723.338200003
935406,91-56-0008,SATICOY,STREAMBED OR GRAVEL BAR SKIMMING AND PITTING,RECLAIMED,Sand and Gravel,,"HANSON AGGREGATES WEST, INC.","HANSON AGGREGATES WEST, INC.",County of Ventura,2002,0,RECLAMATION CERTIFIED COMPLETE BY LEAD AGENCY,CUP 1524,26.00,496541.7,17243.17,34.283889,-119.126111,-13261058.0167,4066985.3801999986
935407,91-56-0002,DEL NORTE,UNDETERMINED,RECLAIMED,Clay,,"HANSON AGGREGATES WEST, INC.","HANSON AGGREGATES WEST, INC.",County of Ventura,2001,0,RECLAMATION CERTIFIED COMPLETE BY LEAD AGENCY,EUA #7,7.00,50000,,34.286944,-119.118056,-13260161.3382,4067396.9800999984
935408,91-56-0004,VENTURA RIVER,"STREAMBED OR GRAVEL BAR SKIMMING AND PITTING,PLANT OR MILL",RECLAIMED,Sand and Gravel,,"HANSON AGGREGATES WEST, INC.","HANSON AGGREGATES WEST, INC.",County of Ventura,2004,0,RECLAMATION CERTIFIED COMPLETE BY LEAD AGENCY,CUP 1088-4,153.00,35419.2,,34.295,-119.305,-13280971.849100001,4068482.4362000003
935409,91-56-0023,ROCKLITE,,CLOSED - ADMINISTRATIVELY,,,VENTURA AGGREGATES,VENTURA AGGREGATES,County of Ventura,1990,0,,??????,0.00,,,34.298056,-119.286111,-13278869.135200001,4068894.225400001
935410,91-36-0096,DELTA CHEMICAL,"BRINE WELL,EVAPORATION SYSTEM,PLANT OR MILL,PROSPECT",CLOSED - MERGED,Saline Compounds,,"DELTA CHEMICAL, INC.","DELTA CHEMICAL, INC.",County of San Bernardino,1993,0,RECLAMATION NOT STARTED,,,,,34.300278,-115.407222,-12847073.186900001,4069193.644299999
935411,91-56-0027,BRIGGS ROAD - PLANT,"STREAMBED OR GRAVEL BAR SKIMMING AND PITTING,PLANT OR MILL",RECLAIMED,Sand and Gravel,,HANSON AGGREGATES,"HANSON AGGREGATES WEST, INC.",County of Ventura,2004,0,RECLAMATION CERTIFIED COMPLETE BY LEAD AGENCY,CUP 245,179.00,127476.53,127540.78,34.308333,-119.098611,-13257996.730700001,4070279.1379999965
935412,91-36-0052,SENTINEL QUARRY/USFS LAND,OPEN PIT,ACTIVE,Limestone,,OMYA CALIFORNIA INC.,"OMYA CALIFORNIA, INC.",County of San Bernardino,2018,193,RECLAMATION IN PROGRESS,94M-02,227.00,1181610,1382326.49,34.311944,-116.936944,-13017361.061,4070765.791000001
935413,91-56-0006,BRIGGS ROAD-MINING,"STREAMBED OR GRAVEL BAR SKIMMING AND PITTING,PLANT OR MILL",RECLAIMED,Sand and Gravel,,"HANSON AGGREGATES WEST, INC.","HANSON AGGREGATES WEST, INC.",County of Ventura,2000,0,RECLAMATION CERTIFIED COMPLETE BY LEAD AGENCY,"CUP 1812,CUP 245,CUP 85-20",,25000,,34.313056,-119.093056,-13257378.3509,4070915.659000002
935414,91-36-0115,DAVIS RANCH MINE,QUARRY,CLOSED - NEVER OPERATED,Sand and Gravel,,SIGMA ROCK CORPORATION,SIGMA ROCK CORPORATION,County of San Bernardino,1997,0,RECLAMATION NOT STARTED,"91M-09,91M-09","120.00,120.00",,,34.325556,-117.4925,-13079205.272,4072600.462899998
935415,91-56-0021,TAPO CANYON MINE,"OPEN PIT,PLANT OR MILL",ACTIVE,Specialty Sand,Sand and Gravel,"P. W. GILLIBRAND CO., INC.","GILLIBRAND INDUSTRIAL SANDS, INC.",County of Ventura,2018,338,RECLAMATION IN PROGRESS,,1117.00,3201818,3302653,34.332222,-118.716667,-13215478.9191,4073499.0376999974
935416,91-56-0015,"TAPO ROCK AND SAND, INC.",OPEN PIT,ACTIVE,NOT REPORTED,,BROOKS,"TAPO ROCK AND SAND, INC.",County of Ventura,2018,11.4,RECLAMATION NOT STARTED,CUP 4609,98.00,115856.75,133140,34.333056,-118.714167,-13215200.6204,4073611.4657000005
935417,91-56-0032,GRIMES ROCK,OPEN PIT,ACTIVE,Sand and Gravel,"Rock,Fill Dirt,NOT REPORTED","GRIMES ROCK, INC.","GRIMES ROCK, INC.",County of Ventura,2018,80,RECLAMATION NOT STARTED,BLANK,161.00,459814.89,741190,34.334722,-118.908611,-13236846.0275,4073836.055399999
935418,91-56-0028,"WAYNE J. SAND & GRAVEL, INC.","OPEN PIT,QUARRY",ACTIVE,NOT REPORTED,,"WAYNE J. SAND & GRAVEL, INC.","WAYNE J. SAND & GRAVEL, INC.",County of Ventura,2018,47,RECLAMATION NOT STARTED,4571,80.00,,1079613,34.336389,-118.890278,-13234805.2072,4074060.7842999995
935419,91-36-0032,"PARTIN LIMESTONE PRODUCTS, INC",OPEN PIT,RECLAIMED,Limestone,,"PARTIN LIMESTONE PRODUCTS, INC.","PARTIN LIMESTONE PRODUCTS, INC.",County of San Bernardino,1995,156,RECLAMATION CERTIFIED COMPLETE BY LEAD AGENCY,2850,0.00,,,34.336944,-116.775,-12999333.5374,4074135.6050999984
935420,91-36-0138,UPPER FURNACE QUARRY,QUARRY,CLOSED NO INTENT TO RESUME,Limestone,,"SPECIALTY MINERALS MICHIGAN, INC.",SPECIALTY MINERALS INC.,County of San Bernardino,2018,25,RECLAMATION IN PROGRESS,0,16.00,201087,233334,34.339444,-116.923056,-13015815.0559,4074472.6418000013
935421,91-56-0009,BEST ROCK/ RED ROCK,OPEN PIT,CLOSED - ADMINISTRATIVELY,Sand and Gravel,,BEST ROCK PRODUCTS,BEST ROCK PRODUCTS,County of Ventura,2011,3,RECLAMATION NOT STARTED,88-26,2121.00,,25186.36,34.339722,-118.914722,-13237526.300900001,4074510.1208999977
935422,91-56-0010,BEST ROCK AT GRIMES CANYON,OPEN PIT,CLOSED - ADMINISTRATIVELY,Sand and Gravel,,BEST ROCK PRODUCTS,BEST ROCK PRODUCTS,County of Ventura,2011,71.5,RECLAMATION NOT STARTED,86-08,80.00,,891208.65,34.339722,-118.910556,-13237062.5439,4074510.1208999977
935423,91-56-0022,FRUITVALE,QUARRY,CLOSED - MERGED,Sand and Gravel,,"CEMEX CONSTRUCTION MATERIALS PACIFIC, LLC","CEMEX CONSTRUCTION MATERIALS, L.P.",County of Ventura,2009,26.88,RECLAMATION IN PROGRESS,CUP4158,160.00,,573479,34.34,-118.893056,-13235114.4528,4074547.600100003
935424,91-56-0014,MOORPARK,OPEN PIT,ACTIVE,Sand and Gravel,,"CEMEX CONSTRUCTION MATERIALS PACIFIC, LLC","CEMEX CONSTRUCTION MATERIALS, L.P.",County of Ventura,2018,209.75,RECLAMATION IN PROGRESS,,677.00,1236056.08,1095560,34.34,-118.880833,-13233753.794599999,4074547.600100003
935425,91-56-0003,PALM AVENUE,STREAMBED OR GRAVEL BAR SKIMMING AND PITTING,RECLAIMED,Sand and Gravel,,"HANSON AGGREGATES WEST, INC.","HANSON AGGREGATES WEST, INC.",City of Santa Paula,1998,0,RECLAMATION CERTIFIED COMPLETE BY LEAD AGENCY,CUP 80-16,190.00,,,34.343056,-119.061944,-13253914.9789,4074959.610100001
935426,91-36-0045,MARBLE CANYON QUARRY,QUARRY,ACTIVE,Limestone,,"SPECIALTY MINERALS MICHIGAN, INC.",SPECIALTY MINERALS INC.,County of San Bernardino,2018,84,RECLAMATION IN PROGRESS,0,132.00,1168168,1341404,34.343056,-116.873889,-13010341.8105,4074959.610100001
935427,91-36-0054,CUSHENBURY MINE,QUARRY,ACTIVE,Limestone,,MITSUBISHI CEMENT CORPORATION,MITSUBISHI CEMENT CORPORATION,County of San Bernardino,2018,369.5,RECLAMATION IN PROGRESS,"84M-016,84M-016,USFS 2810",,1840557,1920356,34.35,-116.848056,-13007466.0941,4075895.8561000004
935428,91-56-0020,HALLOCK PIT,"STREAMBED OR GRAVEL BAR SKIMMING AND PITTING,PLANT OR MILL",RECLAIMED,Sand and Gravel,,BURHOE JR.,BURHOE JR.,County of Ventura,1998,0,RECLAMATION CERTIFIED COMPLETE BY LEAD AGENCY,CUP 3390,280.00,,,34.351111,-119.04,-13251472.184,4076045.657200001
935429,91-56-0034,SANTA PAULA MATERIALS,UNDETERMINED,ACTIVE,Rock,Fill Dirt,"SANTA PAULA MATERIALS, INC.","SANTA PAULA MATERIALS, INC.",State Mining & Geology Board,2018,12,RECLAMATION NOT STARTED,,12.00,887168,423833,34.351667,-119.049444,-13252523.4853,4076120.626000002
935430,91-36-0095,BLACKHAWK MINE/AMERIGOLD INC - RECLAIMED,"OPEN PIT,UNDERGROUND",RECLAIMED,Gold (Lode),,"BLACKHAWK GOLDFIELDS, LLC","BLACKHAWK GOLDFIELDS, LLC",County of San Bernardino,2016,15,RECLAMATION IN PROGRESS,(PH) SA/81-1670/D389-58N,15.00,,0,34.3525,-116.803056,-13002456.717,4076232.9452000037
935431,91-36-0139,ARCTIC CANYON,QUARRY,ACTIVE,Limestone,,"SPECIALTY MINERALS MICHIGAN, INC.",SPECIALTY MINERALS INC.,County of San Bernardino,2018,122.5,RECLAMATION IN PROGRESS,0,430.00,935480,1208104,34.353889,-116.896667,-13012877.4459,4076420.236299999
935432,91-56-0030,RANCHO SAN CRISTOBAL CLAY MINE,OPEN PIT,ACTIVE,Clay,,SANTA CLARA VALLEY AGRICULTURAL DEVELOPMENT CORPORATION,SANTA CLARA VALLEY AGRICULTURAL DEVELOPMENT CORPORATION,County of Ventura,2018,18,RECLAMATION NOT STARTED,,51.00,92900,135735,34.356389,-118.915278,-13237588.1945,4076757.340999998
935433,91-36-0067,WHITE KNOB/ WHITE RIDGE,OPEN PIT,ACTIVE,Limestone,,OMYA CALIFORNIA INC.,"OMYA CALIFORNIA, INC.",County of San Bernardino,2018,157.5,RECLAMATION IN PROGRESS,RP86M-04,145.00,2153557,2188924.19,34.368056,-117.033056,-13028060.199900001,4078330.6745000035
935434,91-36-0116,CUSHENBURY SAND & GRAVEL,OPEN PIT,ACTIVE,Sand and Gravel,,ROBERTSON'S READY MIX,ROBERTSON'S READY MIX,County of San Bernardino,2018,44,RECLAMATION NOT STARTED,93M-03,268.00,366125,366125,34.370556,-116.863056,-13009135.886500001,4078667.8363000005
935435,91-36-0053,CRYSTAL HILLS,OPEN PIT,IDLE,Sand and Gravel,,ROBERTSON'S READY MIX,ROBERTSON'S READY MIX,County of San Bernardino,2018,130,RECLAMATION NOT STARTED,89M-02,252.00,678006,667133,34.378056,-116.93,-13016588.0585,4079679.3819999993
935436,91-56-0029,TOLAND PARK,OPEN PIT,RECLAIMED,Stone,,"VENTURA COUNTY, DEPARTMENT OF PARKS & RECREATION",COUNTY OF VENTURA,County of Ventura,2008,0,RECLAMATION CERTIFIED COMPLETE BY LEAD AGENCY,RDZC# 74449,87.00,,0,34.392222,-118.996389,-13246617.4297,4081590.2365999967
935437,91-56-0013,"MRC ROCK AND SAND, LLC",UNDETERMINED,ACTIVE,Fill Dirt,Rock,"MRC ROCK AND SAND, LLC","MRC ROCK AND SAND, LLC",County of Ventura,2018,10,RECLAMATION NOT STARTED,,100.00,58963.59,77087,34.392222,-118.943056,-13240680.427299999,4081590.2365999967
935438,91-36-0042,LUCERNE VALLEY PIT,OPEN PIT,ACTIVE,Sand and Gravel,,HI-GRADE MATERIALS CO.,HI-GRADE MATERIALS CO.,County of San Bernardino,2018,104,RECLAMATION NOT STARTED,,328.00,1150930,1408605.37,34.411389,-116.924722,-13016000.5142,4084176.1920000017
935439,91-19-0047,ACTON CLAY QUARRIES,QUARRY,ACTIVE,Clay,,"NORTH STAR MINERALS, INC.","NORTH STAR MINERAL, INC",County of Los Angeles,2018,5,RECLAMATION IN PROGRESS,,10.00,66706,85057.25,34.416667,-118.191667,-13157036.1864,4084888.3884000033
935440,91-36-0008,AMERICA MINE,PROSPECT,RECLAIMED,Gold (Lode),,AMERICA MINE II LIMITED PARTNERSHIP,AMERICA MINE II LIMITED PARTNERSHIP,County of San Bernardino,2002,0,RECLAMATION CERTIFIED COMPLETE BY LEAD AGENCY,"91M-06,CA069-EA1-",,12239,,34.426111,-115.765,-12886900.8517,4086162.843500003
935441,91-19-0030,LANG STATION,STREAMBED OR GRAVEL BAR SKIMMING AND PITTING,ACTIVE,Sand and Gravel,,CURTIS SAND & GRAVEL,CURTIS SAND & GRAVEL,County of Los Angeles,2011,185,RECLAMATION NOT STARTED,SMP86-357,0.00,70000,53831,34.431111,-118.386944,-13178774.322700001,4086837.6450999975
935442,91-19-0036,LANG STATION- SWEETWATER,OPEN PIT,CLOSED NO INTENT TO RESUME,Sand and Gravel,,CALMAT COMPANY,CALMAT DBA VULCAN MATERIALS CO,County of Los Angeles,2018,9.7,RECLAMATION IN PROGRESS,,93.37,59269.85,143469,34.431111,-118.38,-13178001.3201,4086837.6450999975
935443,91-19-0032,RASMUSSEN SOLEDAD ROCK QUARRY,QUARRY,ACTIVE,Sand and Gravel,,"RASMUSSEN R & R, INC","RASMUSSEN R & R, INC",County of Los Angeles,2018,5.7,RECLAMATION IN PROGRESS,,19.00,,157729.1,34.431111,-118.350556,-13174723.629,4086837.6450999975
935444,91-19-0038,SOLEDAD CANYON,OPEN PIT,CLOSED NO INTENT TO RESUME,Sand and Gravel,,TRIANGLE ROCK PRODUCTS,"CALMAT DBA., VULCAN MATERIALS CO.",County of Los Angeles,2018,73.8,RECLAMATION IN PROGRESS,,156.00,524000,919208,34.433056,-118.368056,-13176671.7201,4087100.153800003
935445,91-19-0048,CASPAR MINE- ABANDONED,QUARRY,ABANDONED,Feldspar,,PACIFIC INDUSTRIAL MINERALS,PACIFIC INDUSTRIAL MINERALS,County of Los Angeles,2003,10,RECLAMATION NOT STARTED,BLANK,,,,34.436389,-118.337222,-13173239.2949,4087550.009499997
935446,91-19-0009,SOLEDAD CANYON - EXEMPT,QUARRY,EXEMPT,Sand and Gravel,,TRANSIT MIXED CONCRETE COMPANY,TRANSIT MIXED CONCRETE COMPANY,County of Los Angeles,1991,40,RECLAMATION NOT STARTED,"CA22901,CUP122-5",,,,34.438056,-118.343889,-13173981.462000001,4087775.011500001
935447,91-36-0136,KILO GOLD MINE,"OPEN PIT,PLANT OR MILL",ABANDONED,Gold (Placer),,"CANTERA TECH, INC.","CANTERA TECH, INC.",County of San Bernardino,2003,0,RECLAMATION NOT STARTED,"CA034346,RP 95M-02",,80400,,34.441667,-116.45,-12963154.7029,4088262.4187999964
935448,91-42-0020,ELLWOOD RANCH QUARRY,QUARRY,ACTIVE,Sand and Gravel,,SANTA BARBARA SAND & TOPSOIL,SANTA BARBARA SAND & TOPSOIL,County of Santa Barbara,2018,1,RECLAMATION IN PROGRESS,"86-CD-60,86-RP-03,87-RP-003",,90839,129165.89,34.446944,-119.8975,-13346928.6474,4088974.7382000014
935449,91-36-0086,AMBOY MINE,OPEN PIT,RECLAIMED,Gypsum,,BURKETT,C.V. ORGANIC FERTILIZERS,County of San Bernardino,2005,0,RECLAMATION IN PROGRESS,"CA069-P09,EA9-106",,8000,0,34.45,-115.746944,-12884890.866999999,4089387.274899997
935450,91-42-0004,PARKS SAND PIT,OPEN PIT,ACTIVE,Sand and Gravel,,PARKS LAND & CATTLE COMPANY,PARKS LAND & CATTLE COMPANY,County of Santa Barbara,2018,23.2,RECLAMATION IN PROGRESS,93-RP-002,,100000,105561.49,34.463611,-119.968889,-13354875.6345,4091224.839900002
935451,91-42-0005,GIBRALTAR DAM BORROW OPERATION,STREAMBED OR GRAVEL BAR SKIMMING AND PITTING,CLOSED - NEVER OPERATED,Sand and Gravel,,JOHNSON,SANTA BARBARA CITY,County of Santa Barbara,1991,0,RECLAMATION IN PROGRESS,UP/RES057-,20.00,,,34.463611,-119.968889,-13354875.6345,4091224.839900002
935452,91-36-0021,BRISTOL DRY LAKE,"BRINE WELL,EVAPORATION SYSTEM",ACTIVE,Saline Compounds,Salt,NATIONAL CHLORIDE COMPANY OF AMERICA,NATIONAL CHLORIDE COMPANY OF AMERICA,County of San Bernardino,2018,179.25,RECLAMATION NOT STARTED,RP 90M-05,0.00,206454,202015.39,34.471944,-115.736944,-12883777.672,4092349.991700001
935453,91-36-0163,USA V1 MINE,QUARRY,ACTIVE,Clay,,US TILE,"BORAL ROOFING, LLC.",County of San Bernardino,2018,72,RECLAMATION IN PROGRESS,93M-08A,71.00,135080.65,135080.65,34.4775,-117.110278,-13036656.5136,4093100.2453000024
935454,91-36-0007,APPLE VALLEY CLAY MINE,OPEN PIT,ACTIVE,Clay,,"DELILAH PROPERTIES, INC.","DELILAH PROPERTIES, INC.",County of San Bernardino,2018,8.5,RECLAMATION NOT STARTED,"DN250-127N,SAMR92-0064",,83670,85554,34.479722,-117.108333,-13036439.997200001,4093400.3066999987
935455,91-36-0020,AMBOY OPERATIONS,"BRINE WELL,EVAPORATION SYSTEM,PLANT OR MILL",ACTIVE,NOT REPORTED,Salt,"TETRA TECHNOLOGIES, INC.","TETRA TECHNOLOGIES, INC.",County of San Bernardino,2018,4792,RECLAMATION NOT STARTED,"81M-08,PHSA/81-1637/D8",,1795937.05,1928579,34.486111,-115.723056,-12882231.667,4094263.1291000023
935456,91-56-0025,MOSLER ROCK OJAI QUARRY,QUARRY,ACTIVE,Rock,,MOSLER ROCK OJAI QUARRY,MOSLER ROCK-OJAI QUARRY,County of Ventura,2018,5,RECLAMATION IN PROGRESS,,13.00,244000,35144.65,34.488056,-119.303889,-13280848.1731,4094525.810800001
935457,91-19-0041,CASTAIC CLAY MANUFACTURING,"OPEN PIT,PLANT OR MILL",ACTIVE,Clay,,CASTAIC CLAY PRODUCTS,CASTAIC CLAY PRODUCTS,County of Los Angeles,2018,10.4,RECLAMATION NOT STARTED,,105.00,213269,348294,34.51,-118.621111,-13204841.6739,4097489.8792999983
935458,91-19-0046,BIG ROCK CREEK- GRANITE,QUARRY,NEWLY PERMITTED,Sand and Gravel,,GRANITE CONSTRUCTION,GRANITE CONSTRUCTION,County of Los Angeles,2018,0.01,RECLAMATION NOT STARTED,,140.00,,1293,34.513889,-117.853333,-13119373.017900001,4098015.2643000036
935459,91-19-0021,BIG ROCK CREEK- VULCAN,OPEN PIT,ACTIVE,Sand and Gravel,,CALMAT COMPANY,CALMAT CO. DBA VULCAN MATERIALS COMPANY,County of Los Angeles,2018,217.3,RECLAMATION IN PROGRESS,,884.00,134995,1085949,34.526111,-117.855,-13119558.5874,4099666.5568000004
935460,91-19-0026,LITTLE ROCK QUARRY,OPEN PIT,ACTIVE,Sand and Gravel,,HI-GRADE MATERIALS CO.,HI-GRADE MATERIALS,City of Palmdale,2018,173,RECLAMATION NOT STARTED,,373.00,220901,241354,34.538056,-118.001111,-13135823.5896,4101280.658500001
935461,91-19-0054,BIG ROCK CREEK - LEBATA,"OPEN PIT,QUARRY",ACTIVE,Sand and Gravel,,"LEBATA, INC","COAST AGGREGATES, INC",County of Los Angeles,2018,80,RECLAMATION NOT STARTED,RSMP 200700001,310.00,389475,1021513,34.538889,-117.892222,-13123702.1215,4101393.228600003
935462,91-19-0008,LITTLEROCK,QUARRY,ACTIVE,Sand and Gravel,,GRANITE CONSTRUCTION,GRANITE CONSTRUCTION,City of Palmdale,2018,280,RECLAMATION NOT STARTED,,280.00,390051.39,413437.59,34.54,-118.003056,-13136040.105999999,4101543.368900001
935463,91-19-0031,HI-GRADE MATERIALS COMPANY - MERGED WITH 91-19-0026,QUARRY,CLOSED - MERGED,Sand and Gravel,,HI-GRADE MATERIALS COMPANY,HI-GRADE MATERIALS COMPANY,City of Palmdale,2005,20,RECLAMATION NOT STARTED,CUP 02-06MM,373.00,88200,3144,34.543889,-118.015,-13137369.706,4102068.9431999996
935464,91-19-0020,PALMDALE,OPEN PIT,ACTIVE,Sand and Gravel,,CALMAT COMPANY,"CALMAT DBA., VULCAN MATERIALS CO.",City of Palmdale,2018,380.5,RECLAMATION IN PROGRESS,,723.82,1493286,1443137,34.546944,-118.016111,-13137493.381900001,4102481.8247999996
935465,91-19-0002,"ANTELOPE VALLEY AGGREGATE, INC",OPEN PIT,ACTIVE,Sand and Gravel,,"HOLLIDAY ROCK CO., INC.","HOLLIDAY ROCK COMPANY, INC.",City of Palmdale,2018,215,RECLAMATION NOT STARTED,,234.00,223974,223974,34.546944,-117.993889,-13135019.6402,4102481.8247999996
935466,91-19-0001,HOLLIDAY - PALMDALE,OPEN PIT,ACTIVE,Sand and Gravel,,"HOLLIDAY ROCK CO., INC.","HOLLIDAY ROCK COMPANY, INC.",City of Palmdale,2018,158,RECLAMATION NOT STARTED,,320.00,270207,270207,34.546944,-117.986944,-13134246.5263,4102481.8247999996
935467,91-19-0037,DEL SUR RIDGE QUARRY- RECLAIMED,QUARRY,RECLAIMED,Dimension Stone,,"BOUQUET CANYON STONE COMPANY, INC.","BOUQUET CANYON STONE COMPANY, INC.",County of Los Angeles,2008,0,RECLAMATION CERTIFIED COMPLETE BY LEAD AGENCY,"2714-6030,SMP90-320",,42791.13,47146,34.55,-118.443333,-13185051.5174,4102894.8566000015
935468,91-42-0006,BEE ROCK QUARRY,QUARRY,ACTIVE,Limestone,,"GRANITE CONSTRUCTION COMPANY, INC","GRANITE CONSTRUCTION COMPANY, INC",County of Santa Barbara,2018,30.5,RECLAMATION NOT STARTED,,31.50,533956,777642,34.553889,-119.977778,-13355865.1535,4103420.494099997
935469,91-19-0033,PALMDALE,OPEN PIT,ACTIVE,Sand and Gravel,,ROBERTSON'S READY MIX,ROBERTSON'S READY MIX,City of Palmdale,2018,227,RECLAMATION NOT STARTED,CUP 00-02,293.00,296706,291732,34.555,-117.988889,-13134463.0427,4103570.661399998
935470,91-42-0021,EL JARO QUARRY,QUARRY,ACTIVE,Dolomite,,"DANIELS EQUIPMENT, INC.","DANIELS EQUIPMENT, INC.",County of Santa Barbara,2018,7,RECLAMATION IN PROGRESS,87-RP-04,12.00,82764,67420.77,34.572222,-120.373889,-13399960.0283,4105898.714400001
935471,91-36-0022,SCHEERER QUARRY,OPEN PIT,ACTIVE,Limestone,Sand and Gravel,CALPORTLAND COMPANY,CALPORTLAND COMPANY,City of Apple Valley,2018,80.3,RECLAMATION NOT STARTED,,215.00,590644.02,756130.98,34.573056,-117.261389,-13053478.1132,4106011.465999998
935472,91-36-0111,SIGMA CLAY MINE,QUARRY,IDLE,Clay,,"WEBBER-PLYLEY, INC.","WEBBER-PLYLEY, INC.",County of San Bernardino,2018,18,RECLAMATION NOT STARTED,,40.00,29318.46,14668.83,34.573333,-117.093611,-13034801.151700001,4106048.9148999974
935473,91-19-0049,75TH STREET QUARRY,OPEN PIT,ACTIVE,Sand and Gravel,,"JV AGGREGATE PROCESSING, LLC","SAND MATERIALS AND AGGREGATE SALES, INC",City of Palmdale,2018,15,RECLAMATION IN PROGRESS,"CUP 08-08, RP 08-01",28.00,,59655.75,34.573611,-117.993889,-13135019.6402,4106086.4990999997
935474,91-42-0010,SIGNORELLI RANCH SITE 2,QUARRY,RECLAIMED,Stone,,SEPULVEDA BUILDING MATERIALS,SEPULVEDA BUILDING MATERIALS,County of Santa Barbara,1993,0,RECLAMATION CERTIFIED COMPLETE BY LEAD AGENCY,90-RP-007,0.00,,,34.574722,-120.531667,-13417523.7949,4106236.7019999996
935475,91-36-0140,AMBOY QUARRY,"OPEN PIT,QUARRY",ACTIVE,Limestone,,OMYA CALIFORNIA INC.,"OMYA CALIFORNIA, INC.",County of San Bernardino,2018,73.8,RECLAMATION NOT STARTED,"96M-06,CA-069EA7-18",,216811,563439.33,34.578889,-115.656667,-12874841.2773,4106800.0824000016
935476,91-42-0019,PALOS COLORADOS,OPEN PIT,RECLAIMED,Diatomite,,"IMERYS MINERALS CALIFORNIA, INC.","IMERYS MINERALS CALIFORNIA, INC.",County of Santa Barbara,2015,0,RECLAMATION CERTIFIED COMPLETE BY LEAD AGENCY,80-RP-002,310.00,10016.89,0,34.580556,-120.359444,-13398352.018199999,4107025.469499998
935477,91-42-0007,LOMPOC- MIGUELITO CANYON,OPEN PIT,ACTIVE,Diatomite,,"IMERYS MINERALS CALIFORNIA, INC.","IMERYS MINERALS CALIFORNIA, INC.",County of Santa Barbara,2018,1000,RECLAMATION NOT STARTED,,,2822959,2657525.39,34.591667,-120.438333,-13407133.9016,4108527.850100003
935478,91-42-0016,"BUELLFLAT ROCK COMPANY, INC.",OPEN PIT,ACTIVE,Sand and Gravel,,H.G. PETERSEN FAMILY PROPERTIES,BUELLFLAT ROCK COMPANY,County of Santa Barbara,2018,100,RECLAMATION IN PROGRESS,88-RP-002,,187874,255040,34.593333,-120.16,-13376150.013700001,4108753.1366000026
935479,91-42-0001,LIVE OAK SHALE QUARRY,OPEN PIT,ACTIVE,Shale,,"DANIELS EQUIPMENT, INC.","DANIELS EQUIPMENT, INC.",County of Santa Barbara,2018,5,RECLAMATION IN PROGRESS,"85-CP-74,85-RP-001",,131300,124221.5,34.593889,-120.191111,-13379613.2744,4108828.3232000023
935480,91-42-0018,GARDNER PLANT,STREAMBED OR GRAVEL BAR SKIMMING AND PITTING,EXEMPT,Sand and Gravel,,GRANITE CONSTRUCTION COMPANY,GRANITE CONSTRUCTION COMPANY,County of Santa Barbara,1993,0,RECLAMATION CERTIFIED COMPLETE BY LEAD AGENCY,85-RP-002,130.00,,,34.596667,-120.172778,-13377572.4542,4109203.9936000034
935481,91-36-0121,DESERT GARNET MINE,"PLANT OR MILL,QUARRY",RECLAIMED,Abrasives,,"DESERT GARNET, INC.","DESERT GARNET, INC.",County of San Bernardino,1997,1.4,RECLAMATION NOT STARTED,"94M-03,CA 31175",,12000,,34.597222,-115.570833,-12865286.2801,4109279.048100002
935482,91-42-0022,BUELLTON PIT,STREAMBED OR GRAVEL BAR SKIMMING AND PITTING,ACTIVE,Lime,,"GRANITE CONSTRUCTION COMPANY, INC","GRANITE CONSTRUCTION COMPANY, INC",County of Santa Barbara,2018,82,RECLAMATION IN PROGRESS,,188.00,2046562,2213554,34.6,-120.181667,-13378561.9731,4109654.733599998
935483,91-36-0025,ORO GRANDE SILICA,,IDLE,Silica,,JAMES HARDIE BUILDING PRODUCTS,JAMES HARDIE BUILDING PRODUCTS,County of San Bernardino,2018,104,RECLAMATION IN PROGRESS,,104.00,957452,689205.19,34.61,-117.328611,-13060961.232,4111007.1970999986
