"Permit No","Site Name","Permittee Name","Project Name","Permit Type","Status","Rating","Location","City","County","EFO Name","__Issuance__","_Effective_","__Expiration__"
"TN0071137","Waterland Mine","Ford Construction Company","Waterland Mine","Mining","Reissuance","Minor","3231 Highway 211 North","Troy","Obion","Jackson","01-JUN-2018","01-JUN-2018","31-MAY-2023"
"TN0070831","Ford Construction Company - Langley Pit","Ford Construction Company","Langley Pit","Mining","Active","Minor","PO Box 527","Dyersburg","Lauderdale","Jackson","24-JUL-2015","26-AUG-2015","25-AUG-2020"
"TN0069078","Camden - Carroll Site/Ashby Pit","Ford Construction Company Inc. 
","Camden - Carroll Site","Mining","Reissuance","Minor","Pit Road","Camden","Benton","Jackson","15-MAR-2019","01-APR-2019","31-MAR-2024"
"TN0071129","Ford Construction Company - Troy Plant","Ford Construction Company, Inc.","Troy Plant","Mining","Modification","Minor","1697 Highway 21 West","Troy","Obion","Jackson","15-AUG-2019","01-SEP-2019","31-AUG-2024"
"TN0069591","Ford Construction Company, Inc. - Cunningham Mine","Ford Construction Company, Inc.","Cunningham Mine ","Mining","Active","Minor","Clint Word Road","Troy","Obion","Jackson","31-JAN-2017","01-FEB-2017","31-JAN-2022"
"TN0066133","Camden - Memphis Stone Pit","Ford Construction Company, Inc. ","Camden-Memphis Stone Pit","Mining","Reissuance","Minor","Highway 70 Bypass
","Camden","Benton","Jackson","24-SEP-2018","01-OCT-2018","30-SEP-2023"
"TN0068951","Franklin County Highway Department","Franklin County Hwy Dept.","Highway Department Rock Quarry ","Mining","Reissuance","Minor","466 Widall Road","Decherd","Franklin","Columbia","29-JAN-2016","20-APR-2016","19-APR-2021"
"TN0070629","Fred Hall Topsoil Screening Operation","Fred Hall","-","Mining","Pending","N/A","Shelbyville Road","McMinnville","Warren","Cookeville","-","-","-"
"TN0070530","Pevahouse Farms Gravel Pit","Gary Pevahouse (sole proprietor)","Pevahouse Farms Gravel Pit","Mining","Incomplete","Minor","8265 Mt. Carmel Road","Decaturville","Decatur","Jackson","-","-","-"
"TN0079863","General Shale Brick, Inc. - Spring City Mine 23","General Shale Brick, Inc.","Spring City Mine 23","Mining","Active","Minor","Highway 27 near Hoyle Road","Spring City","Rhea","Chattanooga","06-JAN-2020","01-FEB-2020","30-APR-2023"
"TN0079839","General Shale Brick, Inc. - Kitty Hollow Mine #22","General Shale Brick, Inc.","Kitty Hollow Mine No. 22","Mining","Reissuance","Minor","Macedonia Road","Spring City","Rhea","Chattanooga","01-MAR-2018","01-APR-2018","31-MAR-2023"
"TN0070165","General Shale Brick, Inc. - Kitty South Mine No. 24 ","General Shale Brick, Inc. ","Kitty South Mine No. 24 ","Mining","Modification","Minor","Rocky Springs Road, Spring City TN 37381","Spring City ","Rhea","Chattanooga","06-JUN-2019","01-JUL-2019","30-JUN-2024"
"TN0045527","Gleason Clay Company, LLC - Mine 10","Gleason Clay Company LLC

","Mine 10","Mining","Modification","Minor","5110 Old Highway 22","Gleason","Weakley","Jackson","01-JUN-2018","01-JUN-2018","31-MAY-2023"
"TN0045497","Gleason Clay Company, LLC - Mine #3","Gleason Clay Company, LLC","Mine #3","Mining","Reissuance","Minor","US 70 ALT","Gleason","Carroll","Jackson","21-OCT-2015","13-JAN-2016","12-JAN-2021"
"TN0072851","Gleason Clay Company LLC - Mine 12","Gleason Clay Company, LLC
","Mine #12","Mining","Modification","Minor","Hwy 124 (Between Brawners and McAdams Road)","Gleason","Weakley","Jackson","12-JUN-2017","23-JUL-2017","22-JUL-2022"
"TN0045535","Gleason Clay Company, LLC - Mine 11","Gleason Clay Company, LLC 


","Mine 11","Mining","Modification","Minor","5119 Old Highway 22","Gleason","Weakley","Jackson","28-APR-2020","01-JUN-2020","31-MAY-2025"
"TN0045489","Gleason Clay Company, LLC Pit #2","Gleason Clay Company, LLC Pit #2","-","Mining","Reissuance","Minor","Mine 2","Gleason","Weakley","Jackson","21-OCT-2015","13-JAN-2016","12-JAN-2021"
"TN0079367","Gravel, Sand and Solid Rock, LLC - McCommon/Turner Pit","Gravel, Sand and Solid Rock, LLC","McCommon/Turner Pit","Mining","Reissuance","Minor","1442 Baskin Road","Burlison","Tipton","Memphis","20-SEP-2016","20-SEP-2016","30-JUN-2021"
"TN0043800","Green Pilgrim, LLC Tipple 1
","Green Pilgrim, LLC","Tipple 1","Mining","Reissuance","Minor","Smoky Creek Road","Smoky Creek","Scott","Knoxville","01-APR-2016","01-APR-2016","31-MAR-2021"
"TN0062961","Green Pilgrim, LLC - Jordan Ridge Refuse Area","Green Pilgrim, LLC","Jordan Ridge Refuse Area","Mining","Reissuance","Minor","Smoky Junction Road","Smoky Junction","Scott","Knoxville","01-FEB-2017","01-FEB-2017","31-JAN-2021"
"TN0076261","Green Pilgrim, LLC - Mine #12
Formerly: 0955615 US Inc. ","Green Pilgrim, LLC 
Formerly: 0955615 US Inc.","Mine 12","Mining","Reissuance","Minor","5289 Stinking Creek Road
","Pioneer","Campbell","Knoxville","01-DEC-2017","01-DEC-2017","30-NOV-2022"
"TN0052027","Green Pilgrim, LLC
Previously: Triple H Coal, LLC 
Previously: TIACME LLC
Rex Mine","Green Pilgrim, LLC 
Previously: Triple H Coal, LLC 
Previously: TIACME LLC","Rex  Mine","Mining","Reissuance","Minor","Stinking Creek Road","Pioneer","Campbell","Knoxville","16-OCT-2018","01-NOV-2018","30-OCT-2023"
"TN0069531","Limestone Quarry and Rock Crushing Facility","Guy Hommel Jr. dba Hommel Concrete Company","Highway 73 Quarry and Crushing Facility","Mining","Incomplete","Minor","1784 SR-73","Newport","Cocke","Knoxville","28-MAY-2015","01-JUN-2015","31-MAY-2020"
"TN0069868","Hommel Concrete Company - Clear Creek Quarry and Crushing Facility","Guy Hommel Jr., dba Hommel Concrete Company","Clear Creek Quarry and Crushing Facility","Mining","Modification","Minor","Clear Creek Road","Newport","Cocke","Knoxville","07-JUL-2019","01-OCT-2019","30-SEP-2024"
"TN0070432","Hommel Concrete Company Highway 73 Sand and Gravel Pit","Guy Hommel Jr., dba Hommel Concrete Company","Highway 73 Sand and Gravel Pit","Mining","New","Minor","Highway 73 and Mantooth Hills Road","Newport","Cocke","Knoxville","26-JUN-2019","01-JUL-2019","30-JUN-2024"
"TN0069434","H & H Rock- Georgetown Quarry
(James Walter Hickman Farms)","H & H Rock, Inc.","Georgetown Quarry","Mining","Reissuance","Minor","4480 BRITTSVILLE RD","GEORGETOWN","Meigs","Chattanooga","05-AUG-2015","22-OCT-2015","21-OCT-2020"
"TN0071951","H. C. Spinks Clay Company  Inc. -Mine # 28, Wilbanks","H. C. Spinks Clay Co., Inc."," #28 Wilbanks","Mining","Reissuance","Minor","1527 Woodard Road","Gleason","Weakley","Jackson","21-MAR-2018","01-JUN-2018","31-MAY-2021"
"TN0030465","Mine #10, Black Charm","H. C. Spinks Clay Co., Inc., dba Lhoist North America","Mine 10 - Black Charm","Mining","Active","Minor","3220 Goldston Springs Rd","Puryear","Henry","Jackson","25-JUN-2020","01-AUG-2020","31-JUL-2025"
"TN0076155","H. C. Spinks Clay Company,  Inc., dba Lhoist North America - Karen Brown - Mine #31","H. C. Spinks Clay Co., Inc., dba Lhoist North America","Karen Brown - Mine #31","Mining","Reissuance","Minor","Seminary Church Road","Gleason","Weakley","Jackson","21-MAR-2019","01-JUN-2019","31-MAY-2024"
"TN0072265","H.C. Spinks Clay Co., Mine #29, Gearin","H. C. Spinks Clay Company, Inc. ","Mine #29 Gearin","Mining","Reissuance","Minor","650 Wingo Levee Road","Greenfield","Weakley","Jackson","02-APR-2018","01-JUL-2018","30-JUN-2023"
"TN0072800","H. C. Spinks Clay Company, Inc., dba Lhoist North America - Mine #30 - Grable","H.C. Spinks Clay Co., Inc., dba. Lhoist North Amercia
","Mine #30 - Grable","Mining","Reissuance","Minor","Ben Smith Road","Henry","Henry","Jackson","21-NOV-2016","01-DEC-2016","30-NOV-2021"
"TN0079740","Lhoist North America, dba Spinks Clay Company - Mine #33 - Hilliard","H.C. Spinks Clay Company, Inc., dba Lhoist North America
","Mine #33 - Hilliard","Mining","Reissuance","Minor","Willoughly Road (Route 79, between Henry and Paris)","Paris","Henry","Jackson","16-OCT-2017","01-JAN-2018","31-DEC-2022"
"TN0079774","H.C. Spinks Clay Company, Inc., - dba Lhoist North America - Mine 34 - Orr","H.C. Spinks Clay Company, Inc., dba Lhoist North America
","Mine 34 - Orr","Mining","Modification","Minor","Purdy Road","Clarksburg","Carroll","Jackson","02-NOV-2018","02-NOV-2018","07-MAR-2021"
"TN0070611","Stricklin Pit","Hardin County Highway Dept.","Stricklin Pit","Mining","Incomplete","Minor","Lonesome Pine Rd","Savannah","Hardin","Jackson","-","-","-"
"TN0069817","Thurman Mine","Haskle & Sharon Thurman","Thurman Mine","Mining","Reissuance","Minor","700 Big Fork Road","Chattanooga","Marion","Chattanooga","15-JAN-2019","01-FEB-2019","31-JAN-2024"
"TN0070351","Hawkeye Contracting Company - Area No. 1","Hawkeye Contracting Company","Area #1","Mining","New","Minor","467 Helton Road","Bean Station","Grainger","Knoxville","27-MAR-2019","01-APR-2019","31-MAR-2024"
"TN0070203","Highlands Aggragate, LLC - Quarry No. 1","Highlands Aggregate, LLC","Quarry No. 1","Mining","New","Minor","Boswell Road","Monterey","Putnam","Cookeville","04-APR-2017","04-APR-2017","31-MAR-2022"
"TN0070548","Dry Creek Processing","Hill's Mountain 5100, LLC","Dry Creek Processing","Mining","Active","Minor","16399 State Route 8","McMinnville","Van Buren","Cookeville","21-MAY-2020","01-JUN-2020","31-MAY-2025"
"TN0055140","Hinkle Contracting Company, LLC - Jellico Stone Quarry","Hinkle Contracting Company, LLC","Jellico Stone Quarry","Mining","Modification","Minor","2698 North Highway 25","Jellico","Campbell","Knoxville","20-MAR-2020","01-APR-2020","31-MAR-2025"
"TN0079804","Horse Creek Rock, Inc.","Horse Creek Rock Inc.","Hwy 69 Quarry","Mining","Modification","Minor","12935 Highway 69","Savannah","Hardin","Jackson","30-APR-2015","01-MAY-2015","30-APR-2020"
"TN0070301","Houston Branch Sand & Gravel","Houston Branch Sand & Gravel ","Houston Sand & Gravel Borrow Pit ","Mining","Modification","Minor","Old SR-57","Counce","Hardin","Jackson","06-APR-2018","06-APR-2018","05-APR-2023"
"TN0070238","Hwy 84 Limestone LLC","Hwy 84 Limestone, LLC","Quarry No. 2","Mining","New","Minor","Highway 84 near Matheney Drive","Monterey","Putnam","Cookeville","19-SEP-2017","01-OCT-2017","30-SEP-2022"
"TN0069922","Industrial Land Developers LLC - Nashville Quarry","Industrial Land Developers, LLC","Nashville Quarry","Mining","Active","Minor","771 Burnett Road","Old Hickory","Davidson","Nashville","14-SEP-2018","01-OCT-2018","30-SEP-2023"
"TN0069582","Iron Properties LLC, Liberty Mine","Iron Properties, LLC","Liberty Mine","Mining","Reissuance","Minor","Ogden Road","Dayton","Rhea","Chattanooga","20-SEP-2019","01-OCT-2019","30-SEP-2024"
"TN0070220","J. M. Shaffer Quarries, Inc. - Sandstone Quarry","J. M. Shaffer Quarries, Inc.","Browntown Quarry","Mining","Active","Minor","Deck Road ","Pleasant Hill","Cumberland","Cookeville","18-MAY-2017","01-JUN-2017","31-MAY-2022"
"TN0071200","J. R. Hayes Construction Co., Inc. - Mine #4","J. R. Hayes Constr. Co., Inc. ","Mine 4","Mining","Reissuance","Minor","Joe Milam Road ","Buchanan","Henry","Jackson","13-DEC-2019","01-JAN-2020","31-DEC-2024"
"TN0070785","J R HAYES CONSTRUCTION COMPANY Mine #2","J. R. Hayes Construction Company, Inc. ","Mine 2","Mining","Modification","Minor","Oak Grove Road","Buchanan","Henry","Jackson","15-NOV-2019","01-DEC-2019","30-NOV-2024"
"TN0060348","J. R. Hayes Construction Co., Inc. - South Fork Plant","J. R. Hayes Construction Company, Inc. ","South Fork Pit","Mining","Reissuance","Minor","1389 Joe Milan Road","Buchanan","Henry","Jackson","20-DEC-2018","01-JAN-2019","31-DEC-2023"
"TN0069744","Monteagle Sand Man","James David Oliver","Monteagle Sand Man ","Mining","Reissuance","Minor","Monteagle Sand Man Quarry","Monteagle","Marion","Chattanooga","15-APR-2019","01-MAY-2019","30-APR-2024"
"TN0070467","Jamestown Stone LLC Quarry","Jamestown Stone LLC","Jamestown Stone LLC Quarry","Mining","New","Minor","2064 North York Highway","Jamestown","Fentress","Cookeville","31-JAN-2020","01-FEB-2020","31-JAN-2025"
"TN0070050","Smith Brothers Sand & Gravel","Jason Smith","Smith Sand and Gravel Mine","Mining","Modification","Minor","4859 New Hope Road","Sweetwater","Loudon","Knoxville","10-JAN-2020","10-JAN-2020","31-OCT-2021"
"TN0063347","Jefferson County Highway Department","Jefferson County Hwy Dept. Quarry","-","Mining","Modification","Minor","1011 J. C. Thomas Drive","Dandridge","Jefferson","Knoxville","10-JAN-2020","01-APR-2020","31-MAR-2025"
"TN0072672","Johnson County Highway Department","Johnson County Highway Dept","Quarry No. 1 ","Mining","Reissuance","Minor","Johnson County Quarry","Butler","Johnson","Johnson City","11-MAY-2017","15-MAY-2017","14-MAY-2022"
"TN0070254","Marty Judd Property","Judd Farms","Judd Farms - Processing Facility and Borrow Area","Mining","New","Minor","2663 Highway 394","Blountville","Sullivan","Johnson City","26-OCT-2017","01-NOV-2017","31-OCT-2022"
"TN0069477","K and S Sand and Gravel, LLC 
Formerly: Smith Stone - Sand and Gravel Site","K and S Sand and Gravel, LLC
Formerly: Smith Stone","K and S Sand and Gravel Mine ","Mining","Reissuance","Minor","Mt. Vinson Road","Stantonville","McNairy","Jackson","15-JAN-2016","22-MAR-2016","21-MAR-2021"
"TN0070599","Kentucky-Tennessee Clay Company - Cunningham - Mine #21/ McCord Mine #27","Kentucky Tennessee Clay Co.","McCord Mine #27","Mining","New","Minor","Mine #21 - Cunningham","Como","Henry","Jackson","-","-","-"
"TN0046264","Kentucky-Tennessee Clay Co.- 
Jackson Mine 11","Kentucky Tennessee Clay Co.
","Jackson Mine 11","Mining","Reissuance","Minor","Jackson","Gleason","Weakley","Jackson","21-MAR-2018","01-APR-2018","31-MAR-2023"
"TN0069370","KT Clay Edna Smith, Mine #24","Kentucky- Tennessee Clay Company ","Edna Smith Mine No. 24","Mining","Modification","Minor","White Road (approx 1 mi west of TN 190)","Gleason","Weakley","Jackson","23-SEP-2019","01-NOV-2019","31-OCT-2024"
"TN0046329","Kentucky-Tennessee Clay Company - Stallcup - Mine #17","Kentucky-Tennessee Clay Company"," Stallcup 17 - Mine #17","Mining","Reissuance","Minor","Sandhill Road near intersection with Sandhill Lane.","Gleason","Weakley","Jackson","14-MAY-2020","01-JUN-2020","31-MAY-2025"
"TN0046272","Kentucky-Tennessee Clay Company - Lowery - Mine #12","Kentucky-Tennessee Clay Company","Lowery - Mine #12","Mining","Modification","Minor","Bradford/McKenzie Road, .5 miles east of Skullbone","Skullbone","Gibson","Jackson","14-FEB-2020","01-MAR-2020","28-FEB-2025"
"TN0072290","Kentucky-Tennessee Clay Company - Mine 23 - Storey","Kentucky-Tennessee Clay Company","Mine #23, Storey","Mining","Reissuance","Minor","Doe Road (0.5 miles east of intersection with Hwy 424)","Clarksburg","Carroll","Jackson","06-JUN-2019","01-AUG-2019","31-JUL-2024"
"TN0070319","Spencer Mine","Kentucky-Tennessee Clay Company","Spencer Mine #26","Mining","New","Minor","TN Hwy 190","Gleason","Weakley","Jackson","21-MAY-2018","01-JUN-2018","31-MAY-2023"
"TN0069701","Kentucky - Tennessee Clay Company - Guill Mine - #25","Kentucky-Tennessee Clay Company","Guill Mine #25","Mining","Modification","Minor","NE Corner of Shady Grove and Clay Hill Roads","McKenzie","Carroll","Jackson","21-MAY-2018","01-JUN-2018","23-AUG-2022"
"TN0046281","Kentucky-Tennessee Clay Company - Mine 13- Shankle","Kentucky-Tennessee Clay Company # 13 Shankle"," Mine #13 - Shankle","Mining","Reissuance","Minor","1/4 mile east of the intersection of Pled Wade Road on Sparks Road","Cottage Grove","Henry","Jackson","16-APR-2020","01-JUL-2020","30-JUN-2025"
"TN0065641","Kentucky-Tennessee Clay Company - Moore - Mine #20","Kentucky-Tennessee Clay Company Moore #20","Moore Mine #20","Mining","Reissuance","Minor","2 miles west of Como on Moore's School Road","Como","Henry","Jackson","04-FEB-2016","13-APR-2016","12-APR-2021"
"TN0069809","Kopper Glo Mining LLC - Clear Fork Surface Mine","Kopper Glo Mining LLC","Clear Fork Surface Mine","Mining","Reissuance","Minor","Clairfield","Clairfield","Claiborne","Knoxville","16-OCT-2019","01-NOV-2019","31-OCT-2024"
"TN0069671","Kopper Glo Mining LLC - Cooper Ridge Deep Mine","Kopper Glo Mining LLC","Cooper Ridge Deep Mine","Mining","Modification","Minor","Marion near Clairfield","Clairfield","Claiborne","Knoxville","31-JAN-2020","31-JAN-2020","30-SEP-2024"
"TN0079430","Kopper Glo Mining LLC
Tackett Cr. Surface Mine No. 1","Kopper Glo Mining LLC","Tackett Creek Surface Mine No. 1","Mining","Reissuance","Minor","7692 South Highway 25w","Marion","Claiborne","Knoxville","28-DEC-2018","01-JAN-2019","31-DEC-2023"
"TN0079286","Kopper Glo Mining LLC - Ben's Branch Mine","Kopper Glo Mining LLC","Ben's Branch Underground Mine","Mining","Reissuance","Minor","1197 Rock Creek Ridge Road","Clairfield","Claiborne","Knoxville","14-JAN-2019","01-FEB-2019","30-APR-2023"
"TN0079812","Kopper Glo Mining, Inc. - Straight Cr. Surface Mine","Kopper Glo Mining LLC","Straight Creek Surface  Mine","Mining","Reissuance","Minor","Claiborne County","Marion","Claiborne","Knoxville","16-DEC-2016","01-JAN-2017","31-DEC-2021"
"TN0053759","Kopper Glo Mining, LLC dba Marion Tipple","Kopper Glo Mining LLC","Marion Tipple ","Mining","Reissuance","Minor","1197 Rock Creek Ridge Road","Clairfield","Claiborne","Knoxville","16-MAY-2016","01-JUN-2016","31-MAY-2021"
"TN0079791","Kopper Glo Mining LLC - Tackett Creek Surface Mine 2","Kopper Glo Mining LLC","Tackett Creek Surface Mine 2","Mining","Modification","Minor","Rock Creek Ridge Road","Clairfield","Claiborne","Knoxville","14-JAN-2019","01-FEB-2019","31-JAN-2021"
"TN0062952","Kopper Glo Mining LLC - Refuse Area 2","Kopper Glo Mining LLC","Refuse Area 2","Mining","Incomplete","Minor","1197 Rock Creek Ridge Road	","Clairfield","Claiborne","Knoxville","09-NOV-2015","09-NOV-2015","08-NOV-2020"
"TN0069337","Kopper Glo Mining LLC - Double Mountain Mine","Kopper Glo Mining LLC","Double Mountain Deep Mine","Mining","Reissuance","Minor","Claiborne County - Spruce Lick Watershed","Clairfield","Claiborne","Knoxville","21-JUL-2015","21-JUL-2015","20-JUL-2020"
"TN0069736","Kopper Glo Mining LLC - Cooper Ridge Surface Mine","Kopper Glo Mining, LLC","Cooper Ridge Surface Mine Phase I","Mining","Active","Minor","Valley Creek Road","Clairfield","Claiborne","Knoxville","13-MAR-2020","01-APR-2020","31-MAR-2025"
"TN0070157","Kopper Glo Mining LLC - Cooper Ridge Surface Mine","Kopper Glo Mining, LLC ","Cooper Ridge Surface Mine Phase II ","Mining","Reissuance","Minor","Valley Creek Road","Clairfield","Claiborne","Knoxville","13-MAR-2020","01-APR-2020","31-MAR-2025"
"TN0069914","Kraus Stone","Kraus Stone Co., LLC","Kraus Stone","Mining","Active","Minor","1159 Winningham Road","Crossville","Cumberland","Cookeville","02-JUL-2015","02-JUL-2015","01-JUL-2020"
"TN0072753","Processing Facility, Silvara Stone Company","Kraus Stone Company, LLC","Silvara Processing Facility ","Mining","Modification","Minor","309 County Seat Road","Crossville","Cumberland","Cookeville","30-AUG-2016","01-SEP-2016","31-AUG-2021"
"TN0062782","LCC TN LLC - Pine Ridge East Mine - TN0062782","LCC Tennessee LLC","Pine Ridge East Mine","Mining","Reissuance","Minor","Pine Ridge East Mine","Dunlap","Bledsoe","Chattanooga","13-FEB-2019","01-MAR-2019","29-FEB-2024"
"TN0054127","LCC TN, LLC - Glady Fork Mine - TN0054127","LCC Tennessee, LLC","Glady Fork Mine","Mining","Reissuance","Minor","Highway 111 & Hwy 8","Dunlap","Sequatchie","Chattanooga","14-JAN-2019","01-FEB-2019","30-JAN-2024"
"TN0050679","LCC Tennessee, LLC","LCC Tennessee, LLC","Energy Wash Facility","Mining","Reissuance","Minor","John Barley Hollow","LaFollette","Campbell","Knoxville","12-JAN-2016","12-JAN-2016","12-JAN-2021"
"TN0054151","LCC TN, LLC - Big Brush Creek Mines 1 & 2 - TN0054151","LCC Tennessee, LLC","Big Brush Creek Mine 2- Alternative Bond Site ","Mining","Reissuance","Minor","Hwy 111 and Hwy 8","Dunlap","Sequatchie","Chattanooga","26-JUN-2014","26-JUN-2014","25-JUN-2019"
"TN0072737","LoJac Enterprises, Inc.","LOJAC ENTERPRISES, INC.","Smith County Quarry ","Mining","Reissuance","Minor","16 Turkey Creek Highway","Carthage","Smith","Cookeville","14-MAR-2016","01-JUN-2016","31-MAY-2021"
"TN0071901","Lauderdale County Highway Department","Lauderdale County Highway Department","-","Mining","Reissuance","Minor","281 Bud Armour Rd","Ripley","Lauderdale","Jackson","27-JUN-2018","01-JUL-2018","30-JUN-2023"
"TN0066044","Lexington Coal Company, LLC
Lane Cove Strip Mine #2
TN0066044","Lexington Coal Comapny, LLC","Lane Cove Strip Mine #2","Mining","Reissuance","Minor","1000 Pocket Road","Whitwell","Sequatchie","Chattanooga","01-MAY-2018","01-MAY-2018","30-APR-2023"
"TN0054321","Lexington Coal Company, LLC
Morganville Strip Mine #3
TN0054321","Lexington Coal Company, LLC","Morganville Strip Mine #3/ DM 62","Mining","Reissuance","Minor","1000 Pocket Road","Whitwell","Marion","Chattanooga","14-JAN-2019","01-FEB-2019","30-JAN-2024"
"TN0052108","Lexington Coal Company, LLC
Mine No. 23
TN0052108","Lexington Coal Company, LLC","Mine No. 23","Mining","Reissuance","Minor","1000 Pocket Road","Whitwell","Sequatchie","Chattanooga","26-MAR-2018","01-APR-2018","31-MAR-2023"
"TN0052132","Lexington Coal Company, LLC
Preparation Plant","Lexington Coal Company, LLC","Preparation Plant","Mining","Reissuance","Minor","1000 Pocket Road","Whitwell","Marion","Chattanooga","26-MAR-2018","01-APR-2018","31-MAR-2023"
"TN0053341","Lexington Coal Company, LLC 
River Dock
TN0053341","Lexington Coal Company, LLC","River Dock","Mining","Reissuance","Minor","River Dock","Jasper","Marion","Chattanooga","26-MAR-2018","01-APR-2018","31-MAR-2023"
"TN0050423","Lexington Coal Company, LLC
Poor Fork Surface Mine #1
TN0050423","Lexington Coal Company, LLC","Poor Fork Surface Mine #1 (Reclaimed)","Mining","Reissuance","Minor","1000 Pocket Road","Whitwell","Sequatchie","Chattanooga","12-MAY-2017","01-JUN-2017","31-MAY-2022"
"TN0063690","Lexington Coal Company, LLC
Kelley Creek Strip Mine #2
TN0063690","Lexington Coal Company, LLC","Kelley Creek Strip Mine #2 ","Mining","Reissuance","Minor","1000 Pocket Road","Whitwell","Sequatchie","Chattanooga","10-SEP-2015","10-SEP-2015","09-SEP-2020"
"TN0063151","Lhoist North America dba Anderson Plant","Lhoist North America - Anderson Plant","Anderson Plant","Mining","Reissuance","Minor","2024 Crownover Road","Sherwood","Franklin","Columbia","14-OCT-2015","11-JAN-2016","10-JAN-2021"
"TN0063631","Lhoist North America - Crab Orchard Plant","Lhoist North America - Crab Orchard Plant","Crab Orchard Plant","Mining","Reissuance","Minor","10583 Highway 70 East","Crab Orchard","Cumberland","Cookeville","15-AUG-2019","01-SEP-2019","31-AUG-2024"
"TN0071391","Chappell Mine #26","Lhoist North America of TN, LLC dba Spinks Clay Co., Inc. "," Chappell Mine #26","Mining","Modification","Minor","208 Bynum Rd","Gleason","Weakley","Jackson","09-JUN-2020","01-JUL-2020","30-JUN-2023"
"TN0071102","Spinks Clay Roberts Mine 25","Lhoist North America of Tennessee dba Spinks Clay Co.","Spinks Clay Roberts Mine 25","Mining","Modification","Minor","799 Roberts Road","Gleason","Weakley","Jackson","09-JUN-2020","01-JUL-2020","30-JUN-2025"
"TN0063541","H. C. Spinks Clay Company, Inc. - dba Lhoist North America, Perry - Mine 23","Lhoist North American of TN, Inc. dba H. C. Spinks Clay Company, Inc.","Perry - Mine 23","Mining","Modification","Minor","Black Gulley Rd.","Clarksburg","Carroll","Jackson","27-JAN-2020","27-JAN-2020","31-JUL-2021"
"TN0054348","Spinks Mine #21 - Richmond","Lhost North America of TN, Inc., dba H. C. Spinks Clay Company, Inc."," Mine #21 Richmond","Mining","Reissuance","Minor","1000 Liberty Road","Gleason","Weakley","Jackson","02-MAY-2019","01-AUG-2019","31-JUL-2024"
"TN0066176","Lincoln County Highway Department","Lincoln County Highway Department","Lincoln County Rock Quarry","Mining","Reissuance","Minor","161 Molino Road","Fayetteville","Lincoln","Columbia","05-SEP-2019","01-OCT-2019","30-SEP-2024"
"TN0069779","Hanging Limb Sand","LoJac Enterprises, Inc. ","Hanging Limb Sand","Mining","Reissuance","Minor","1892 Hanging Limb Highway","Crawford","Overton","Cookeville","28-SEP-2018","01-DEC-2018","30-NOV-2023"
"TN0079685","Young Portable Crusher Plant","Long Excavating and Hauling, LLC ","Young Portable Crusher Plant","Mining","Reissuance","Minor","Young Portable Crusher Plant","Tazewell","Grainger","Knoxville","18-SEP-2015","18-SEP-2015","17-SEP-2020"
"TN0072150","Claiborne Hauling LLC dba Loyston Quarry","Loyston Quarry, LLC","Loyston Road Quarry","Mining","Modification","Minor","569 Loyston Road","Maynardville","Union","Knoxville","20-FEB-2019","01-MAR-2019","29-FEB-2024"
"TN0070246","Majestic Quarries, LLC - Ogden Road Rock Yard","Majestic Quarries, LLC","Ogden Road Rock Yard","Mining","Active","Minor","6219 Ogden Road","Dayton","Rhea","Chattanooga","01-NOV-2017","01-NOV-2017","31-OCT-2022"
"TN0079413","Martin Paving Sand Pit","Martin Paving Company, Inc.","Martin Paving Sand Pit","Mining","Reissuance","Minor","200 Bakers Chapel Road","Medina","Madison","Jackson","16-APR-2020","01-JUN-2020","31-MAY-2025"
"TN0069221","Martin Sand and Gravel Mine","Martin Sand and Gravel","Middle Mine","Mining","Modification","Minor","Red Sulphur Springs Road","Counce","Hardin","Jackson","09-AUG-2019","09-AUG-2019","31-JAN-2024"
"TN0066206","Maymead Potter Quarry","Maymead Materials, Inc.","Potter Quarry","Mining","Modification","Minor","1955 Roan Creek Road
PO Box 911","Mountain City","Johnson","Johnson City","19-OCT-2018","01-NOV-2018","31-OCT-2023"
"TN0066192","421 Plant","Maymead Materials, Inc.","421 Plant","Mining","Reissuance","Minor","US Hwy 421 South
PO Box 911","Mountain City","Johnson","Johnson City","19-OCT-2018","01-NOV-2018","31-OCT-2023"
"TN0072532","Memphis Stone & Gravel Company - North Plant - Area #5","Memphis Stone & Gravel Co.","North Plant Area 5","Mining","Active","Minor","North Plant - Area #5","Arlington","Shelby","Memphis","20-JUL-2015","15-SEP-2015","14-SEP-2020"
"TN0072541","Memphis Stone & Gravel Company (Lopez Site)","Memphis Stone & Gravel Co.","Lopez Property","Mining","Active","Minor","Highway 59 West","Covington","Tipton","Memphis","13-JUL-2015","15-SEP-2015","14-SEP-2020"
"TN0079375","Memphis Stone And Gravel Co. - Area 7 F.M. Duke Estate","Memphis Stone & Gravel Co. Duke Estate","Area 7 F.M. Duke Estate","Mining","Reissuance","Minor","10577 Millington-Arlington Rd","Arlington","Shelby","Memphis","15-JAN-2019","01-FEB-2019","31-JAN-2024"
"TN0063185","Memphis Stone & Gravel Company -North Plant - Area 1","Memphis Stone & Gravel Company","North Plant - Area 1","Mining","Reissuance","Minor","10236 Millington-Arlington Road","Arlington","Shelby","Memphis","19-JUN-2019","01-JUL-2019","30-JUN-2024"
